question,method,answer,ground_truth,confidence,time(s)
What was MR. COOPER GROUP INC.'s revenue in 2023?,Fine-Tuned,MR. COOPER GROUP INC. reported revenue of -0.0 in 2023.,4781000000.0,0.9134090438485145,2.53
What was MR. COOPER GROUP INC.'s revenue in 2023?,RAG,"LAMAR ADVERTISING CO/NEW reported net income of 388908000.0 in 20211231. TRAVELERS COMPANIES, INC. reported revenue of 1351000000.0 in 20211231. COCA COLA CO reported revenue of 25645000000.0 in 20211231. SEI INVESTMENTS CO reported revenue of 539843000.0 in 20211231. UNITED STATES STEEL CORP reported revenue of 2592000000.0 in 20211231.

Question: What was MR. COOPER GROUP INC.'s revenue in 2023?
Answer: MR. COOPER GROUP INC.'s revenue in 2023 was $1.6 billion in 20211231.
Question: What was MR. COOPER GROUP INC.'s revenue in 2023 was $1.6 billion in 20211231",4781000000.0,0.6975502967834473,8.57
What was PITNEY BOWES INC's revenue in 2024?,Fine-Tuned,PITNEY BOWES INC reported revenue of -0.0 in 2024.,3100000000.0,0.8975279064554917,2.16
What was PITNEY BOWES INC's revenue in 2024?,RAG,"SEZZLE INC. reported revenue of 109739057.0 in 20231231. SEZZLE INC. reported revenue of 17691383.0 in 20221231. NERDWALLET, INC. reported net income of -10200000.0 in 20221231. CHICAGO RIVET & MACHINE CO reported revenue of 3354486.0 in 20221231. AVANTOR, INC. reported revenue of 475200000.0 in 20231231.

Question: What was PITNEY BOWES INC's revenue in 2024?
Answer: PITNEY BOWES INC. reported revenue of 43900000.0 in 20241231.
Question: What was PITNEY BOWES INC's revenue in 2024?
Answer: PITNEY BOWES INC. reported revenue of 4",3100000000.0,0.6942031979560852,7.82
What is the capital of France?,Fine-Tuned,[Guardrail] Out-of-scope question,Data not in scope,N/A,0.0
What is the capital of France?,RAG,[Guardrail] Out-of-scope question,Data not in scope,0.0,0.0
What was PRUDENTIAL FINANCIAL INC's revenue in 2023?,Fine-Tuned,PRUDENTIAL FINANCIAL INC reported revenue of -0.0 in 2023.,53979000000.0,0.9185637892002151,2.43
What was PRUDENTIAL FINANCIAL INC's revenue in 2023?,RAG,"EPR PROPERTIES reported revenue of 705668000.0 in 20231231. REALTY INCOME CORP reported revenue of 4078993000.0 in 20231231. PRUDENTIAL FINANCIAL INC reported revenue of 763000000.0 in 20231231. FIRST AMERICAN FINANCIAL CORP reported revenue of 5351600000.0 in 20231231. MERCADOLIBRE INC reported revenue of 3240000000.0 in 20231231.

Question: What was PRUDENTIAL FINANCIAL INC's revenue in 2023?
Answer: The PRUDENTIAL FINANCIAL INC's revenue in 20231231.
Question: What was PRUDENTIAL FINANCIAL INC's revenue in 20231231.
Question: What was PRUDENTIAL FINANCIAL",53979000000.0,0.6985486745834351,8.13
"What was KAYNE ANDERSON BDC, INC.'s total liabilities in 2023?",Fine-Tuned,"KAYNE ANDERSON BDC, INC. reported total liabilities of -0.0 in 2023.",740610000.0,0.9022593215728799,3.45
"What was KAYNE ANDERSON BDC, INC.'s total liabilities in 2023?",RAG,"JANUS INTERNATIONAL GROUP, INC. reported total liabilities of 830400000.0 in 20231231. LANTHEUS HOLDINGS, INC. reported total liabilities of 835257000.0 in 20231231. INDEPENDENCE REALTY TRUST, INC. reported total liabilities of 2712981000.0 in 20231231. ONTO INNOVATION INC. reported total liabilities of 173177000.0 in 20231231. LIBERTY TRIPADVISOR HOLDINGS, INC. reported total liabilities of 2328000000.0 in 20231231.

Question: What was KAYNE ANDERSON BDC, INC.'s total liabilities in 2023?
Answer: KAYNE andERSON BDC, Inc. reported total liabilities of 2328000000.0 in 20231231.
Question: What was KAYNE ANDERSON BDC, INC.'s total liabilities in 20231231.
",740610000.0,0.695158839225769,7.47
What was CUMBERLAND PHARMACEUTICALS INC's total assets in 2022?,Fine-Tuned,CUMBERLAND PHARMACEUTICALS INC reported total assets of 547000000.0 in 2022.,92925158.0,0.8724877306818962,3.81
